Year,Month,Call_Category,Phone_Service_Provider_Type,Call_Count_by_Phone_Service_Pro,Call_Origin,Call_Count_By_Origin,FID
2025,1 - January,Emergency,Wire-line,503,Incoming,22575,1
2025,1 - January,Emergency,Wireless,19560,Internal,0,2
2025,1 - January,Emergency,VoIP,1813,Outgoing,0,3
2025,1 - January,Emergency,Unknown,699,Unknown,0,4
2025,1 - January,Non-Emergency,Wire-line,10622,Incoming,12213,5
2025,1 - January,Non-Emergency,Wireless,0,Internal,13,6
2025,1 - January,Non-Emergency,VoIP,0,Outgoing,13027,7
2025,1 - January,Non-Emergency,Unknown,1428,Unknown,0,8
2025,1 - January,Other,Wire-line,0,Incoming,0,9
2025,1 - January,Other,Wireless,0,Internal,0,10
2025,1 - January,Other,VoIP,0,Outgoing,0,11
2025,1 - January,Other,Unknown,0,Unknown,0,12
2025,2 - February,Emergency,Wire-line,491,Incoming,21847,13
2025,2 - February,Emergency,Wireless,18963,Internal,0,14
2025,2 - February,Emergency,VoIP,1634,Outgoing,0,15
2025,2 - February,Emergency,Unknown,759,Unknown,0,16
2025,2 - February,Non-Emergency,Wire-line,9163,Incoming,10984,17
2025,2 - February,Non-Emergency,Wireless,0,Internal,41,18
2025,2 - February,Non-Emergency,VoIP,0,Outgoing,11880,19
2025,2 - February,Non-Emergency,Unknown,1821,Unknown,0,20
2025,2 - February,Other,Wire-line,0,Incoming,0,21
2025,2 - February,Other,Wireless,0,Internal,0,22
2025,2 - February,Other,VoIP,0,Outgoing,0,23
2025,2 - February,Other,Unknown,0,Unknown,0,24
2025,3 - March,Emergency,Wire-line,421,Incoming,24710,25
2025,3 - March,Emergency,Wireless,21837,Internal,0,26
2025,3 - March,Emergency,VoIP,1775,Outgoing,0,27
2025,3 - March,Emergency,Unknown,677,Unknown,0,28
2025,3 - March,Non-Emergency,Wire-line,10214,Incoming,11628,29
2025,3 - March,Non-Emergency,Wireless,0,Internal,123,30
2025,3 - March,Non-Emergency,VoIP,0,Outgoing,13386,31
2025,3 - March,Non-Emergency,Unknown,1414,Unknown,0,32
2025,3 - March,Other,Wire-line,0,Incoming,0,33
2025,3 - March,Other,Wireless,0,Internal,0,34
2025,3 - March,Other,VoIP,0,Outgoing,0,35
2025,3 - March,Other,Unknown,0,Unknown,0,36
2025,4 - April,Emergency,Wire-line,404,Incoming,24299,37
2025,4 - April,Emergency,Wireless,21492,Internal,0,38
2025,4 - April,Emergency,VoIP,1773,Outgoing,0,39
2025,4 - April,Emergency,Unknown,630,Unknown,0,40
2025,4 - April,Non-Emergency,Wire-line,10308,Incoming,11864,41
2025,4 - April,Non-Emergency,Wireless,0,Internal,94,42
2025,4 - April,Non-Emergency,VoIP,0,Outgoing,13770,43
2025,4 - April,Non-Emergency,Unknown,1556,Unknown,0,44
2025,4 - April,Other,Wire-line,0,Incoming,0,45
2025,4 - April,Other,Wireless,0,Internal,0,46
2025,4 - April,Other,VoIP,0,Outgoing,0,47
2025,4 - April,Other,Unknown,0,Unknown,0,48
2025,5 - May,Emergency,Wire-line,392,Incoming,25954,49
2025,5 - May,Emergency,Wireless,22687,Internal,0,50
2025,5 - May,Emergency,VoIP,2023,Outgoing,0,51
2025,5 - May,Emergency,Unknown,852,Unknown,0,52
2025,5 - May,Non-Emergency,Wire-line,10892,Incoming,12945,53
2025,5 - May,Non-Emergency,Wireless,0,Internal,20,54
2025,5 - May,Non-Emergency,VoIP,0,Outgoing,14380,55
2025,5 - May,Non-Emergency,Unknown,2053,Unknown,0,56
2025,5 - May,Other,Wire-line,0,Incoming,0,57
2025,5 - May,Other,Wireless,0,Internal,0,58
2025,5 - May,Other,VoIP,0,Outgoing,0,59
2025,5 - May,Other,Unknown,0,Unknown,0,60
2025,6 - June,Emergency,Wire-line,402,Incoming,25088,61
2025,6 - June,Emergency,Wireless,22053,Internal,0,62
2025,6 - June,Emergency,VoIP,1886,Outgoing,0,63
2025,6 - June,Emergency,Unknown,747,Unknown,0,64
2025,6 - June,Non-Emergency,Wire-line,10334,Incoming,11820,65
2025,6 - June,Non-Emergency,Wireless,0,Internal,57,66
2025,6 - June,Non-Emergency,VoIP,0,Outgoing,13392,67
2025,6 - June,Non-Emergency,Unknown,2233,Unknown,0,68
2025,6 - June,Other,Wire-line,0,Incoming,0,69
2025,6 - June,Other,Wireless,0,Internal,0,70
2025,6 - June,Other,VoIP,0,Outgoing,0,71
2025,6 - June,Other,Unknown,0,Unknown,0,72
2025,7 - July,Emergency,Wire-line,592,Incoming,28973,73
2025,7 - July,Emergency,Wireless,25197,Internal,0,74
2025,7 - July,Emergency,VoIP,2181,Outgoing,0,75
2025,7 - July,Emergency,Unknown,1003,Unknown,0,76
2025,7 - July,Non-Emergency,Wire-line,11028,Incoming,13906,77
2025,7 - July,Non-Emergency,Wireless,0,Internal,188,78
2025,7 - July,Non-Emergency,VoIP,0,Outgoing,16282,79
2025,7 - July,Non-Emergency,Unknown,2878,Unknown,0,80
2025,7 - July,Other,Wire-line,0,Incoming,0,81
2025,7 - July,Other,Wireless,0,Internal,0,82
2025,7 - July,Other,VoIP,0,Outgoing,0,83
2025,7 - July,Other,Unknown,0,Unknown,0,84
